Account Number,Date,Debit Amount,Credit Amount,Closing Balance
1010083,"Wednesday, August 8, 5821",67614,28203,850840
1010071,"Friday, May 8, 2331",86220,15966,758985
1010245,"Saturday, September 15, 8328",11673,21057,293001
1010296,"Thursday, October 8, 3282",54577,21983,720373
1010132,"Friday, February 28, 1620",95493,57569,140697
1010166,"Wednesday, December 19, 8068",68733,79757,936694
1010267,"Saturday, December 31, 1492",15532,96629,163592
1010112,"Sunday, October 17, 7210",76801,70787,691851
1010005,"Saturday, June 29, 8678",27753,26996,864834
1010077,"Wednesday, October 3, 2688",34869,22401,305872
1010159,"Tuesday, March 5, 3433",6006,19171,287770
1010059,"Sunday, April 28, 4239",18771,73998,787438
1010030,"Friday, April 17, 6392",86436,65752,614555
1010263,"Thursday, October 19, 9076",42463,37245,28017
1010149,"Friday, July 14, 7702",71481,91646,953743
1010203,"Sunday, December 1, 8148",50301,98184,74340
1010159,"Wednesday, January 11, 8271",2629,71423,668006
1010206,"Tuesday, January 2, 0114",93295,74253,772269
1010016,"Friday, April 28, 4873",68679,64239,387374
1010217,"Wednesday, September 3, 8949",80245,84567,379592
1010277,"Thursday, November 1, 8328",22461,52312,473742
1010017,"Wednesday, February 22, 1911",5044,79623,744628
1010022,"Tuesday, April 1, 9664",86978,73955,842931
1010056,"Saturday, January 29, 0585",94084,53963,883964
1010050,"Friday, February 21, 7372",2806,78935,827946
1010289,"Saturday, April 12, 7986",50967,78324,674129
1010030,"Tuesday, July 3, 7781",56604,14343,60794
1010028,"Monday, February 3, 8876",91790,96648,119641
1010195,"Saturday, September 29, 4840",47185,54023,49294
1010053,"Wednesday, March 14, 9764",60043,52291,676811
1010083,"Sunday, July 4, 7526",37929,88449,601699
1010178,"Tuesday, December 9, 8842",86594,2793,51123
1010249,"Thursday, March 3, 9408",91930,56267,628883
1010072,"Thursday, September 6, 6564",70871,24249,495548
1010110,"Thursday, October 27, 8546",24012,87535,275954
1010180,"Monday, July 30, 3674",22470,54659,314630
1010284,"Sunday, August 9, 2691",68757,13287,359151
1010057,"Friday, September 24, 8793",86199,34931,885842
1010192,"Wednesday, December 27, 7380",98102,63491,594195
1010020,"Saturday, April 6, 2154",33710,38648,18366
1010033,"Sunday, February 13, 6721",36955,38045,678883
1010216,"Thursday, March 11, 2923",29202,87643,738896
1010006,"Friday, October 15, 3847",90317,9362,967826
1010190,"Wednesday, February 20, 0104",95762,70668,853793
1010148,"Thursday, May 3, 4751",36788,77912,276140
1010107,"Tuesday, March 17, 2736",10287,84072,774732
1010102,"Thursday, February 21, 4982",88379,73975,210738
1010174,"Wednesday, May 21, 1062",48309,22566,765525
1010176,"Wednesday, April 8, 0037",15275,94943,652201
1010182,"Thursday, June 27, 3112",16811,84336,533895
1010051,"Saturday, April 29, 0339",44215,9994,611179
1010220,"Thursday, March 26, 2668",68327,71056,875381
1010015,"Monday, March 15, 1571",56439,95525,190424
1010165,"Wednesday, September 28, 5064",73957,22515,413626
1010079,"Sunday, June 20, 8156",27205,96361,147851
1010271,"Friday, October 27, 4299",26756,62995,922810
1010180,"Monday, July 29, 2701",72268,46811,607282
1010024,"Sunday, January 26, 3721",65772,87031,995874
1010013,"Friday, May 28, 7345",18251,95017,777254
1010058,"Thursday, November 14, 1963",40375,17913,284911
1010263,"Friday, July 12, 7365",40037,58268,542481
1010104,"Friday, February 5, 3210",66936,36059,249976
1010168,"Sunday, December 21, 5451",42504,16562,421233
1010096,"Tuesday, November 11, 1760",83443,58208,676578
1010058,"Saturday, April 26, 1236",40155,20862,643286
1010046,"Monday, March 26, 8790",39774,90911,526508
1010250,"Thursday, May 20, 9706",90611,43320,454356
1010171,"Monday, September 26, 4231",95084,3458,515650
1010221,"Friday, May 20, 7746",31403,43010,162402
1010101,"Saturday, September 22, 8683",72949,68560,922685
1010080,"Thursday, September 26, 1072",10402,78121,290547
1010207,"Monday, July 18, 9661",59717,87257,205075
1010253,"Tuesday, October 19, 3441",16575,27274,524328
1010162,"Sunday, December 15, 9157",46398,88403,842415
1010221,"Monday, February 18, 2267",49934,75284,636919
1010298,"Friday, October 16, 0725",3708,90570,740892
1010298,"Saturday, November 21, 9198",72743,88416,105812
1010250,"Thursday, September 12, 2740",75579,50195,230437
1010025,"Tuesday, March 14, 6339",21094,4637,348649
1010177,"Friday, October 13, 0620",98722,68361,506225
1010004,"Monday, June 10, 4019",66059,80929,15134
1010103,"Sunday, March 28, 2432",90818,67278,241515
1010171,"Thursday, December 15, 8264",87983,48707,786096
1010262,"Saturday, June 2, 7792",91849,98877,848131
1010177,"Monday, March 12, 4908",63667,88730,424502
1010247,"Saturday, October 11, 6453",16545,84068,684729
1010117,"Thursday, May 22, 7270",47914,12255,134634
1010274,"Sunday, September 9, 2446",83891,24766,426891
1010077,"Friday, January 26, 9798",11241,51167,934363
1010281,"Tuesday, July 16, 7816",47759,40152,709864
1010281,"Monday, April 28, 9490",70277,6358,115852
1010111,"Monday, September 26, 7042",32735,39337,985810
1010119,"Sunday, June 8, 2594",82672,60958,280639
1010065,"Friday, July 6, 4610",38647,93386,440236
1010253,"Wednesday, March 17, 2832",21201,90058,553903
1010275,"Sunday, March 20, 1791",3023,28913,613907
1010117,"Monday, January 26, 3942",99759,83360,116323
1010102,"Tuesday, August 17, 3041",6123,1245,982135
1010231,"Wednesday, April 8, 2082",31406,72802,190035
1010108,"Friday, March 16, 2035",24026,81039,189469
1010052,"Thursday, May 1, 7349",99678,71508,846359
1010135,"Tuesday, July 28, 5096",83814,19598,856085
1010050,"Friday, July 17, 6635",92710,90625,79077
1010200,"Wednesday, March 21, 1523",13793,93077,103916
1010148,"Sunday, August 8, 6348",30738,93391,774736
1010148,"Sunday, October 30, 7927",77434,79436,523090
1010003,"Sunday, September 19, 6320",55193,79374,248691
1010248,"Wednesday, August 19, 5395",19624,33551,315255
1010174,"Tuesday, April 13, 6404",57497,40839,860240
1010219,"Friday, March 3, 8254",71016,50042,892410
1010108,"Thursday, August 1, 0576",41327,45841,942183
1010252,"Saturday, August 14, 6455",3818,35520,300547
1010137,"Tuesday, May 24, 6005",3770,57311,435557
1010067,"Wednesday, February 6, 6695",19493,23029,122966
1010012,"Saturday, July 9, 1470",45732,70312,169860
1010055,"Saturday, December 6, 5180",50081,59120,693172
1010141,"Saturday, March 22, 4684",56668,57758,323800
1010145,"Saturday, January 17, 0787",64267,15562,648108
1010125,"Tuesday, April 27, 6737",99411,61236,5156
1010269,"Wednesday, June 3, 4516",27102,65015,724428
1010024,"Tuesday, May 29, 0964",81589,2591,475228
1010171,"Monday, September 23, 2176",76383,54060,541784
1010109,"Thursday, April 26, 2694",46979,19179,478832
1010256,"Friday, October 21, 1414",78122,19875,217589
1010129,"Monday, September 25, 9313",83741,59319,601531
1010194,"Tuesday, June 17, 3958",634,19750,137980
1010273,"Friday, June 5, 2122",54124,9089,610621
1010271,"Thursday, October 22, 8691",38459,65770,789334
1010006,"Sunday, January 6, 6628",1188,24241,527580
1010203,"Wednesday, December 21, 2872",90925,35865,850686
1010283,"Tuesday, July 17, 3832",34627,82956,887939
1010252,"Tuesday, May 11, 2523",68134,30065,267181
1010221,"Monday, April 20, 7637",32604,23094,899894
1010291,"Tuesday, April 21, 9085",85418,69102,995495
1010153,"Monday, November 18, 6120",5503,44092,674497
1010250,"Tuesday, January 16, 2903",81424,14997,994987
1010296,"Wednesday, June 4, 1975",90363,2159,620046
1010046,"Tuesday, December 24, 8307",73268,80722,986567
1010168,"Saturday, October 16, 6286",38480,60927,684880
1010097,"Saturday, September 30, 5905",58027,51191,159918
1010227,"Saturday, April 10, 1813",53705,34975,608992
1010177,"Sunday, February 21, 3497",208,50302,105101
1010145,"Sunday, October 18, 0443",38658,28160,604018
1010176,"Wednesday, March 31, 8151",48319,32314,574358
1010096,"Sunday, May 28, 4772",92447,63081,29209
1010084,"Monday, July 25, 3104",78571,26148,324401
1010027,"Friday, April 1, 5211",75294,25905,375392
1010270,"Tuesday, January 24, 5082",29445,32523,112022
1010008,"Friday, October 25, 1912",51433,47826,560789
1010124,"Wednesday, August 28, 0650",91763,98076,803579
1010166,"Saturday, June 29, 5101",7235,8151,568233
1010066,"Saturday, May 22, 3080",9027,31860,984772
1010295,"Thursday, April 22, 0652",31669,99934,575497
1010013,"Thursday, April 16, 4967",67256,15865,982250
1010158,"Wednesday, March 8, 4919",56433,67979,954691
1010033,"Friday, January 21, 9385",36399,92859,326826
1010224,"Tuesday, September 5, 4952",55078,52157,241030
1010153,"Tuesday, January 11, 3944",65549,29322,548053
1010045,"Thursday, May 14, 1068",12288,65815,423940
1010116,"Saturday, February 2, 3828",98566,14820,680652
1010170,"Sunday, January 22, 5139",1006,40187,976817
1010291,"Thursday, November 5, 7496",74862,71964,457167
1010193,"Friday, December 4, 1807",79048,22038,625671
1010251,"Sunday, July 5, 1801",17903,64722,527467
1010074,"Monday, October 30, 0389",51541,47450,143914
1010211,"Monday, April 24, 6102",72586,57482,638648
1010199,"Monday, October 5, 8657",82947,90209,778765
1010088,"Sunday, February 20, 0557",20425,74625,792552
1010031,"Thursday, December 30, 1599",99857,47852,134444
1010212,"Wednesday, April 4, 7246",86669,18625,115761
1010181,"Friday, September 19, 1264",23795,40376,419781
1010041,"Thursday, June 1, 5854",58316,89298,503397
1010259,"Wednesday, January 12, 3763",76736,25145,666253
1010116,"Thursday, June 4, 5671",73533,15512,429832
1010260,"Monday, April 17, 8293",38160,30996,865385
1010227,"Tuesday, September 1, 2691",55811,55549,127617
1010249,"Wednesday, October 12, 1127",90831,7164,838827
1010262,"Wednesday, June 7, 8699",699,20117,404522
1010129,"Tuesday, February 22, 0005",77274,83135,485095
1010020,"Tuesday, January 19, 3864",45129,9356,830162
1010004,"Wednesday, June 27, 5798",90852,81139,961423
1010227,"Thursday, March 21, 4480",39536,33008,750730
1010021,"Friday, July 3, 2691",81006,82617,63642
1010085,"Wednesday, February 9, 8203",30083,74136,426767
1010233,"Wednesday, September 7, 1481",9802,96905,524325
1010057,"Thursday, April 4, 0897",3185,7860,672805
1010017,"Sunday, August 11, 7720",52269,32228,205661
1010226,"Wednesday, April 8, 5063",58216,57452,459866
1010212,"Friday, March 19, 8213",37512,30803,970385
1010090,"Saturday, August 14, 8477",97701,53152,253461
1010222,"Sunday, April 21, 5089",91369,34251,257683
1010247,"Monday, June 15, 7012",35698,79351,608939
